اللبن الغربي,217,72
رنتيس,175,120
شقبا,185,198
قبيا,158,248
بدرس,119,277
نعلين,173,318
المدية,146,359
صفا,222,413
بيت سيرا,218,499
بيت عور التحتا,342,475
بيت عور الفوقا,389,476
الطيرة,389,476
بيت لقيا,274,520
بيت نوبا,213,568
يالو,145,569
عمواس,77,574
دير غسانة,304,71
بيت ريما,375,132
عابود,272,124
دير ابو مشعل,304,209
جمالا,338,240
دير عمار,345,296
شبتين,264,264
دير قديس,248,319
خربثا بني حارث,307,312
خربثا المصباح,293,496
بلعين,302,374
كفر نعمة,340,362
دير ابزيع,396,438
عين عريك,454,454
بيتونيا,490,504
عين قينيا,471,368
الجانية,454,345
راس كركر,388,331
بيتللو,422,240
المزرعة القبلية,479,272
ابو شخيدم,527,280
كوبر,493,228
برهام,541,217
جيبيا,502,186
دير نظام,419,175
النبي صالح,431,132
ام صفا,516,174
دير السودان,469,109
كفر عين,423,96
قراوة بني زيد,444,49
مزارع النوباني,489,67
عارورة,530,94
عجول,540,139
روابي,579,145
عطارة,621,190
بيرزيت,606,230
عين سينيا,661,225
يبرود,693,255
جفنا,644,277
دورا القرع,674,286
مخيم الجلزون,617,308
سردا,605,324
ابو قش,556,341
رام الله,566,392
قدورة,612,434
الامعري,608,471
البيرة,645,379
بيتين,704,406
عين يبرود,702,301
عبوين,612,98
جلجليا,676,132
سلواد,689,195
الطيرة,377,508
سلبيت,83,542
